dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,score_status,n,n_pcr,n_rd,pcr_prevalence,n_unique_patients,raw_auc_high_score_predicts_pcr,discovery_aligned_auc,auc_ci_low_bootstrap,auc_ci_high_bootstrap,auc_bootstrap_valid_replicates,average_precision_pr_auc,pr_auc_baseline_pcr_prevalence,pr_auc_minus_pcr_prevalence,wilcoxon_p_value_aligned_score,discovery_direction_sign,performance_role,wilcoxon_q_value_aligned_score
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,scored_preferred_coverage,115,27,88,0.2348,115,0.272727272727273,0.727272727272727,0.62729107505071,0.825016591251885,500,0.408934941215834,0.2348,0.174152332520182,0.000371087987889701,-1,external_core_validation,0.000950912968967359
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,scored_low_coverage_exploratory,253,69,184,0.2727,253,0.357671707624449,0.642328292375551,0.565851595183854,0.715421104431048,500,0.381135097458855,0.2727,0.108407824731583,0.000492498878617933,-1,external_core_validation,0.0011218030012964
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,scored_preferred_coverage,156,53,103,0.3397,156,0.408316541491116,0.591683458508884,0.505151139937107,0.681249007253667,500,0.411960752940821,0.3397,0.0722171631972315,0.0613567458759872,-1,external_core_validation,0.0882675993303676
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,scored_preferred_coverage,88,27,61,0.3068,88,0.475409836065574,0.524590163934426,0.404286698150335,0.666727383120826,500,0.345829180268141,0.3068,0.0390109984499593,0.717414162766482,-1,external_core_validation,0.726271127738908
GSE109710,GSE109710_GPL24546,GPL24546,limited_subtype_panel_or_gene_space,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,scored_preferred_coverage,173,103,70,0.5954,173,0.581969486823856,0.581969486823856,0.497175333146957,0.656526857221762,500,0.673079560180088,0.5954,0.0777038376367353,0.0678075230475769,1,limited_or_subtype_exploratory,0.0942409642356153
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,scored_preferred_coverage,108,46,62,0.4259,108,0.607994389901823,0.607994389901823,0.500345218776711,0.717236129253303,500,0.499478674251813,0.4259,0.073552748325887,0.0560684750647212,1,limited_or_subtype_exploratory,0.0821002670590561
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,scored_preferred_coverage,222,80,142,0.3604,222,0.708362676056338,0.708362676056338,0.637985320023373,0.779018183756429,500,0.582525857427698,0.3604,0.222165497067338,2.5969202804123e-07,1,external_core_validation,1.52105330709864e-06
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,scored_preferred_coverage,654,214,440,0.3272,654,0.703940101954121,0.703940101954121,0.66067393088428,0.741626708333182,500,0.489448320959037,0.3272,0.162231195576773,2.44936912392849e-17,1,large_stress_test,2.00848268162136e-15
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,scored_preferred_coverage,334,105,229,0.3144,334,0.675899355375338,0.675899355375338,0.615353201748437,0.733149774060568,500,0.471117444240611,0.3144,0.156746186755581,2.44705525423306e-07,1,large_stress_test,1.52105330709864e-06
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,scored_preferred_coverage,178,26,152,0.1461,178,0.642965587044535,0.642965587044535,0.532102941176471,0.759328407441615,500,0.246034540691131,0.1461,0.0999671249607935,0.020072925314145,1,external_core_validation,0.0329195975151978
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,scored_preferred_coverage,488,99,389,0.2029,488,0.718470047518891,0.718470047518891,0.66039932588424,0.766411249697981,500,0.387115547839005,0.2029,0.184246695379989,1.87098093029357e-11,1,discovery_calibration_base,2.55700727140121e-10
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,scored_preferred_coverage,115,27,88,0.2348,115,0.72516835016835,0.72516835016835,0.626847094036102,0.829246333635526,500,0.412233170383579,0.2348,0.177450561687927,0.000420546149644734,1,external_core_validation,0.00101425836090789
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,scored_preferred_coverage,253,69,184,0.2727,253,0.62177063642092,0.62177063642092,0.54185645789296,0.698304654721063,500,0.371828935411495,0.2727,0.0991016626842221,0.00287004058319552,1,external_core_validation,0.00560341256719126
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,scored_preferred_coverage,156,53,103,0.3397,156,0.671368382487635,0.671368382487635,0.581699306119555,0.756453297700123,500,0.484619412341619,0.3397,0.144875822598029,0.000467685500376449,1,external_core_validation,0.00109572031516768
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,scored_preferred_coverage,88,27,61,0.3068,88,0.573770491803279,0.573770491803279,0.443969899665552,0.721219298704013,500,0.417318471429178,0.3068,0.110500289610996,0.27360492735886,1,external_core_validation,0.311605611714258
GSE109710,GSE109710_GPL24546,GPL24546,limited_subtype_panel_or_gene_space,PAM50,PAM50 non-luminal affinity score,scored_preferred_coverage,173,103,70,0.5954,173,0.605825242718447,0.605825242718447,0.518354175516851,0.68862917270836,500,0.667107153575677,0.5954,0.0717314310323242,0.0183616925807899,1,limited_or_subtype_exploratory,0.0307277304413219
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,PAM50,PAM50 non-luminal affinity score,scored_preferred_coverage,110,47,63,0.4273,110,0.61870989530564,0.61870989530564,0.5070518444666,0.715185219335654,500,0.599086795669142,0.4273,0.171814068396415,0.0339315117493431,1,limited_or_subtype_exploratory,0.0524978106310591
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,PAM50,PAM50 non-luminal affinity score,scored_preferred_coverage,222,80,142,0.3604,222,0.706382042253521,0.706382042253521,0.632487685714601,0.768372131421963,500,0.568132005526284,0.3604,0.207771645165923,3.36784214696379e-07,1,external_core_validation,1.84108704034021e-06
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,PAM50,PAM50 non-luminal affinity score,scored_preferred_coverage,654,214,440,0.3272,654,0.657227060322855,0.657227060322855,0.61550958823269,0.700500447197003,500,0.435899517938247,0.3272,0.108682392555984,6.57519644803891e-11,1,large_stress_test,7.70237298198844e-10
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,PAM50,PAM50 non-luminal affinity score,scored_preferred_coverage,334,105,229,0.3144,334,0.679268039093367,0.679268039093367,0.625439828017243,0.735254383230673,500,0.429156587869897,0.3144,0.114785330384867,1.43605734771018e-07,1,large_stress_test,1.07051547738395e-06
