dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,n_genes_required,n_genes_available,coverage_pct,n_samples,n_scores_nonmissing,n_scores_missing,n_unique_patients,score_mean,score_sd,score_min,score_median,score_max,score_status_values
GSE106977,GSE106977_GPL17586,GPL17586,limited_subtype_panel_or_gene_space,IFNG_18,IFN-gamma 18-gene mean z score,18,0,0,119,0,119,119,,,,,,not_scored_insufficient_coverage
GSE106977,GSE106977_GPL17586,GPL17586,limited_subtype_panel_or_gene_space,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,0,0,119,0,119,119,,,,,,not_scored_insufficient_coverage
GSE109710,GSE109710_GPL24546,GPL24546,limited_subtype_panel_or_gene_space,PAM50,PAM50 non-luminal affinity score,50,50,100,173,173,0,173,-0.115477034744534,0.37376950313958,-1.13603841536615,-0.0286194477791116,0.612725090036014,scored_preferred_coverage
GSE109710,GSE109710_GPL24546,GPL24546,limited_subtype_panel_or_gene_space,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,11,21.6,173,0,173,173,,,,,,not_scored_insufficient_coverage
GSE109710,GSE109710_GPL24546,GPL24546,limited_subtype_panel_or_gene_space,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,16,100,173,173,0,173,-8.78228827971582e-17,0.58911997954366,-1.62448846803885,0.0721257611486705,1.03912065723817,scored_preferred_coverage
GSE109710,GSE109710_GPL24546,GPL24546,limited_subtype_panel_or_gene_space,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,27,27.3,173,0,173,173,,,,,,not_scored_insufficient_coverage
GSE109710,GSE109710_GPL24546,GPL24546,limited_subtype_panel_or_gene_space,GENE76,Wang 76-gene weighted risk score,58,7,12.1,173,0,173,173,,,,,,not_scored_insufficient_coverage
GSE109710,GSE109710_GPL24546,GPL24546,limited_subtype_panel_or_gene_space,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,2,25,173,0,173,173,,,,,,not_scored_insufficient_coverage
GSE109710,GSE109710_GPL24546,GPL24546,limited_subtype_panel_or_gene_space,IFNG_18,IFN-gamma 18-gene mean z score,18,8,44.4,173,0,173,173,,,,,,not_scored_insufficient_coverage
GSE109710,GSE109710_GPL24546,GPL24546,limited_subtype_panel_or_gene_space,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,0,0,173,0,173,173,,,,,,not_scored_insufficient_coverage
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,PAM50,PAM50 non-luminal affinity score,50,47,94,110,110,0,110,-0.12818676622734,0.419249382700272,-1.18327937095282,-0.124826549491212,0.794403330249769,scored_preferred_coverage
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,42,82.4,110,107,3,110,0.00457618272200613,0.349729273417906,-1.10200992561031,0.0455385631134595,0.94825963907336,scored_preferred_coverage
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,16,100,110,108,2,110,-0.00143102909089148,0.57980017383083,-1.56274733112482,0.0218151170113616,1.08637273608531,scored_preferred_coverage
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,89,89.9,110,110,0,110,-0.000158901138363482,1.06853610684833,-3.02573726390115,0.0230098464306549,2.66089975618233,scored_preferred_coverage
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GENE76,Wang 76-gene weighted risk score,58,48,82.8,110,105,5,110,0.00189526911912495,0.294941725912446,-0.560512166498361,0.00602892439345732,0.654566257383796,scored_preferred_coverage
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,7,87.5,110,107,3,110,0.011734016637474,0.518575641356871,-1.41765883043898,-0.00799372237342256,1.31892552688928,scored_preferred_coverage
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,IFNG_18,IFN-gamma 18-gene mean z score,18,18,100,110,110,0,110,0.00184439379636236,0.820248528436025,-1.81556871798818,-0.0103473754986085,2.02769129583991,scored_preferred_coverage
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,2,100,110,110,0,110,1.184786564942e-17,0.935205016182362,-2.32314125960424,-0.144064626640319,2.3448055755575,scored_preferred_coverage
